num_ano_gravacao,num_mes_gravacao,munipio_armazem_venda,uf,qtd_produto_kg,valor_comercializado,numero_atendimentos,clientes_atendidos
2021,6,UMARIZAL                                          ,RN,191760,298598.3976,141,117
2021,6,CACOAL                                            ,RO,75339,108558.45,82,56
2021,6,PORTO VELHO                                       ,RO,21246,32505.618,76,55
2021,6,BOA VISTA                                         ,RR,102650,184237.0,195,135
2021,6,CRUZEIRO DO SUL                                   ,RS,71663,116758.17,57,57
2021,6,MARAU                                             ,RS,99730,153688.1,23,23
2021,6,SANTA ROSA                                        ,RS,69570,107435.7,36,35
2021,6,ITABAIANA                                         ,SE,67860,101743.8,13,13
2021,6,BERNARDINO DE CAMPOS                              ,SP,2282,3751.44,14,11
2021,7,RIO BRANCO                                        ,AC,168540,225843.6000000001,308,212
2021,7,MACEIÓ                                            ,AL,211831,328338.05,189,84
2021,7,PALMEIRA DOS ÍNDIOS                               ,AL,89160,138198.0,55,44
2021,7,MANAUS                                            ,AM,228950,357155.5,81,49
2021,7,IRECÊ                                             ,BA,11546,17088.08,23,23
2021,7,ITABERABA                                         ,BA,139994,206160.0399999999,165,149
2021,7,RIBEIRA DO POMBAL                                 ,BA,25807,37872.62,30,26
2021,7,CRATEÚS                                           ,CE,31740,47935.2,12,10
2021,7,ICÓ                                               ,CE,352515,529843.2000000001,114,109
2021,7,IGUATU                                            ,CE,341903,511591.49,163,131
2021,7,MARACANAÚ                                         ,CE,369045,553030.65,163,114
2021,7,MORADA NOVA                                       ,CE,287,439.11,2,1
2021,7,SENADOR POMPEU                                    ,CE,332452,499607.0600000002,151,131
2021,7,SOBRAL                                            ,CE,121020,181739.04,89,40
2021,7,TAUÁ                                              ,CE,77400,115974.0,58,40
2021,7,BRASÍLIA                                          ,DF,250250,352106.0699999999,383,316
2021,7,CACHOEIRO DE ITAPEMIRIM                           ,ES,152946,235373.9334,110,89
2021,7,COLATINA                                          ,ES,393095,607858.8500000001,276,228
2021,7,GOIÂNIA                                           ,GO,110140,149428.0000000001,109,70
2021,7,PONTALINA                                         ,GO,26360,36254.0,15,11
2021,7,SÃO LUÍS DE MONTES BELOS                          ,GO,110770,157981.6,97,69
2021,7,IMPERATRIZ                                        ,MA,48638,71311.98,58,49
2021,7,SÃO LUÍS                                          ,MA,94361,148146.77,134,100
2021,7,MONTES CLAROS                                     ,MG,7650,13707.005,14,8
2021,7,ANANINDEUA                                        ,PA,61200,85926.0,26,21
2021,7,CAMPINA GRANDE                                    ,PB,474855,738903.1200000001,345,230
2021,7,JOÃO PESSOA                                       ,PB,164564,255497.68,141,79
2021,7,MONTEIRO                                          ,PB,113940,177310.8,121,79
2021,7,PATOS                                             ,PB,62760,96889.2,42,25
2021,7,ARCOVERDE                                         ,PE,413780,617011.5000000001,169,122
2021,7,PETROLINA                                         ,PE,20068,29975.4,15,11
2021,7,RECIFE                                            ,PE,193441,288189.045,126,80
2021,7,CAMPO MAIOR                                       ,PI,142819,202326.6800000001,70,56
2021,7,FLORIANO                                          ,PI,144721,204710.1900000001,306,191
2021,7,PARNAÍBA                                          ,PI,502002,709986.0480000004,352,223
2021,7,PICOS                                             ,PI,153410,217156.5,180,124
2021,7,TERESINA                                          ,PI,673693,953885.7489999996,774,485
2021,7,AÇU                                               ,RN,150780,227611.8,109,99
2021,7,CAICÓ                                             ,RN,648452,975535.1999999996,264,195
2021,7,CURRAIS NOVOS                                     ,RN,326104,491940.6,150,114
2021,7,MOSSORÓ                                           ,RN,216960,326892.6,160,108
2021,7,NATAL                                             ,RN,563225,848040.9031,425,251
2021,7,UMARIZAL                                          ,RN,167902,253532.0232,115,100
2021,7,CACOAL                                            ,RO,44566,65483.055,60,46
2021,7,PORTO VELHO                                       ,RO,38911,60482.202,119,83
2021,7,BOA VISTA                                         ,RR,217800,343315.5,398,227
2021,7,CRUZEIRO DO SUL                                   ,RS,213616,320929.5,96,96
2021,7,MARAU                                             ,RS,1170535,1604643.8500000003,203,200
2021,7,SANTA ROSA                                        ,RS,141390,190291.5,71,69
2021,7,BRAÇO DO NORTE                                    ,SC,40700,61306.0,5,5
2021,7,CAMPOS NOVOS                                      ,SC,137950,198768.5,18,16
2021,7,ITABAIANA                                         ,SE,49560,76730.4,11,10
2021,7,BERNARDINO DE CAMPOS                              ,SP,11362,16794.57,27,20
2021,8,RIO BRANCO                                        ,AC,134702,180500.6800000001,275,199
2021,8,MACEIÓ                                            ,AL,107880,180159.5999999999,108,62
2021,8,PALMEIRA DOS ÍNDIOS                               ,AL,46260,77254.2,29,24
2021,8,MANAUS                                            ,AM,54200,91270.0,37,29
2021,8,ITABERABA                                         ,BA,124020,190597.8,147,131
2021,8,RIBEIRA DO POMBAL                                 ,BA,22260,34204.2,26,22
2021,8,CRATEÚS                                           ,CE,10128,16508.64,4,4
2021,8,ICÓ                                               ,CE,242513,394360.26,67,64
2021,8,IGUATU                                            ,CE,156000,253748.4015999999,60,47
2021,8,JUAZEIRO DO NORTE                                 ,CE,33480,54304.8,27,24
2021,8,MARACANAÚ                                         ,CE,260482,423673.4399999999,112,85
2021,8,RUSSAS                                            ,CE,914,1489.8233,3,1
2021,8,SENADOR POMPEU                                    ,CE,273780,445647.6,110,100
2021,8,SOBRAL                                            ,CE,99224,161309.88,66,31
2021,8,TAUÁ                                              ,CE,20460,33253.8,13,11
2021,8,BRASÍLIA                                          ,DF,229300,345504.9899999999,329,284
2021,8,CACHOEIRO DE ITAPEMIRIM                           ,ES,142140,237054.0,101,77
2021,8,COLATINA                                          ,ES,280320,468462.0,265,228
2021,8,GOIÂNIA                                           ,GO,54953,80688.88,58,41
2021,8,PONTALINA                                         ,GO,38380,55684.6,23,16
2021,8,SÃO LUÍS DE MONTES BELOS                          ,GO,68280,101773.2,88,55
2021,8,IMPERATRIZ                                        ,MA,47853,69726.44,55,42
2021,8,SÃO LUÍS                                          ,MA,140685,212599.42,157,111
2021,8,MONTES CLAROS                                     ,MG,8908,15860.694,12,7
2021,8,ANANINDEUA                                        ,PA,38944,54870.92,20,16
2021,8,CAMPINA GRANDE                                    ,PB,394232,639893.8200000001,302,233
2021,8,JOÃO PESSOA                                       ,PB,106844,172942.04,86,60
2021,8,MONTEIRO                                          ,PB,123300,200121.0000000001,124,66
2021,8,PATOS                                             ,PB,65892,106443.72,34,25
2021,8,ARCOVERDE                                         ,PE,34080,53717.82,16,15
2021,8,PETROLINA                                         ,PE,72990,116230.32,17,16
2021,8,RECIFE                                            ,PE,202405,320577.5726000001,109,82
2021,8,CAMPO MAIOR                                       ,PI,104932,162288.36,57,48
2021,8,FLORIANO                                          ,PI,94392,145494.24,234,142
2021,8,PARNAÍBA                                          ,PI,312685,484209.53,251,154
2021,8,PICOS                                             ,PI,91507,141805.99,116,83
2021,8,TERESINA                                          ,PI,581334,899591.9399999996,579,407
2021,8,AÇU                                               ,RN,3302,5091.6892,4,3
2021,8,CAICÓ                                             ,RN,160503,247495.626,39,37
2021,8,MOSSORÓ                                           ,RN,179220,278250.36,111,84
2021,8,NATAL                                             ,RN,274610,423448.6200000001,152,127
2021,8,CACOAL                                            ,RO,34449,48891.33,53,35
2021,8,PORTO VELHO                                       ,RO,31102,47049.078,95,68
2021,8,BOA VISTA                                         ,RR,137800,246743.5,284,191
2021,8,CRUZEIRO DO SUL                                   ,RS,173370,280763.4,68,68
2021,8,MARAU                                             ,RS,428345,651084.4,75,72
2021,8,SANTA ROSA                                        ,RS,111537,170842.21,46,46
2021,8,ITABAIANA                                         ,SE,130140,185425.8,26,24
2021,8,BERNARDINO DE CAMPOS                              ,SP,7575,12309.33,17,12
