ano_agricola,dsc_safra_previsao,uf,produto,id_produto,area_plantada_mil_ha,producao_mil_t,dsc_situacao_levantamento,producao_acucar_mil_t,producao_etanol_anidro_mil_l,producao_etanol_hidratado_mil_l,producao_etanol_total_mil_l,produtcao_atr_kg_t
2008/09             ,UNICA          ,MA,CANA DE ACUCAR                          ,4238,38.9,2385,PREVISAO                                                    ,24.8,119044.1,57946.7,176990.8,140.1
2008/09             ,UNICA          ,MG,CANA DE ACUCAR                          ,4238,564.5,41461.4,PREVISAO                                                    ,2639.2,754082.6,1216563.5,1970646.1,148.5
2008/09             ,UNICA          ,MS,CANA DE ACUCAR                          ,4238,275.8,20755,PREVISAO                                                    ,1006.1,405978.3,658065.9,1064044.2,139
2008/09             ,UNICA          ,MT,CANA DE ACUCAR                          ,4238,223.2,16109.9,PREVISAO                                                    ,506.3,414251.9,588615.9,1002867.8,140.2
2008/09             ,UNICA          ,PA,CANA DE ACUCAR                          ,4238,9.5,628.4,PREVISAO                                                    ,36.8,29754.8,0,29754.8,145
2008/09             ,UNICA          ,PB,CANA DE ACUCAR                          ,4238,112.5,6117,PREVISAO                                                    ,190.8,157383.6,166040.5,323424.1,124.1
2008/09             ,UNICA          ,PE,CANA DE ACUCAR                          ,4238,321.4,19119.8,PREVISAO                                                    ,1521.9,231107.3,311795.3,542902.6,132.5
2008/09             ,UNICA          ,PI,CANA DE ACUCAR                          ,4238,13.1,900.9,PREVISAO                                                    ,69,25168.6,3568.9,28737.5,136.4
2008/09             ,UNICA          ,PR,CANA DE ACUCAR                          ,4238,524.5,44200.1,PREVISAO                                                    ,2379.5,411098.8,1504298.8,1915397.6,130.5
2008/09             ,UNICA          ,RJ,CANA DE ACUCAR                          ,4238,50.0,3556.3,PREVISAO                                                    ,263.7,30038.2,71729.5,101767.7,126.8
2008/09             ,UNICA          ,RN,CANA DE ACUCAR                          ,4238,59.5,3296.7,PREVISAO                                                    ,243,50414.7,68261.2,118675.9,139.4
2008/09             ,UNICA          ,RO,CANA DE ACUCAR                          ,4238,1.7,106.3,PREVISAO                                                    ,0,0,7224,7224,114.9
2008/09             ,UNICA          ,RS,CANA DE ACUCAR                          ,4238,2.1,120,PREVISAO                                                    ,0,0,9003.7,9003.7,126.9
2008/09             ,UNICA          ,SE,CANA DE ACUCAR                          ,4238,36.0,2380,PREVISAO                                                    ,118.4,55603.3,50447.6,106050.9,129.3
2008/09             ,UNICA          ,SP,CANA DE ACUCAR                          ,4238,3882.1,345657.7,PREVISAO                                                    ,19066.7,6251405.9,9972202.1,16223608,138.6
2008/09             ,UNICA          ,TO,CANA DE ACUCAR                          ,4238,1.1,55.4,PREVISAO                                                    ,0,12021.9,10141.6,22163.5,692.6
2009/10             ,UNICA          ,AL,CANA DE ACUCAR                          ,4238,448.0,24504.5,PREVISAO                                                    ,2096.2,303988,318969,622957,133.7
2009/10             ,UNICA          ,AM,CANA DE ACUCAR                          ,4238,3.8,211.8,PREVISAO                                                    ,8.7,0,4739,4739,81
2009/10             ,UNICA          ,BA,CANA DE ACUCAR                          ,4238,37.4,2947.1,PREVISAO                                                    ,129.9,43828,74247,118075,115.1
2009/10             ,UNICA          ,CE,CANA DE ACUCAR                          ,4238,2.3,154.4,PREVISAO                                                    ,0,0,10924,10924,119.7
2009/10             ,UNICA          ,ES,CANA DE ACUCAR                          ,4238,68.0,4009.6,PREVISAO                                                    ,77.7,111963,124924,236887,122.3
2009/10             ,UNICA          ,GO,CANA DE ACUCAR                          ,4238,471.9,40092.5,PREVISAO                                                    ,1392.1,484995,1709245,2194240,129.9
2009/10             ,UNICA          ,MA,CANA DE ACUCAR                          ,4238,39.4,2209.4,PREVISAO                                                    ,15.9,109746,58751,168497,140.2
2009/10             ,UNICA          ,MG,CANA DE ACUCAR                          ,4238,588.8,49923.4,PREVISAO                                                    ,2685.8,482839,1814448,2297287,135
2009/10             ,UNICA          ,MS,CANA DE ACUCAR                          ,4238,265.4,23297.8,PREVISAO                                                    ,746.8,236798,1030834,1267632,126.4
2009/10             ,UNICA          ,MT,CANA DE ACUCAR                          ,4238,203.0,14045.6,PREVISAO                                                    ,414.2,271565,553789,825354,131.8
2009/10             ,UNICA          ,PA,CANA DE ACUCAR                          ,4238,10.9,623.4,PREVISAO                                                    ,24.5,4113,33521,37634,143.8
2009/10             ,UNICA          ,PB,CANA DE ACUCAR                          ,4238,115.5,6320,PREVISAO                                                    ,183.4,153470,234276,387746,136
2009/10             ,UNICA          ,PE,CANA DE ACUCAR                          ,4238,321.4,17805.6,PREVISAO                                                    ,1478.3,140305,240093,380398,123.8
2009/10             ,UNICA          ,PI,CANA DE ACUCAR                          ,4238,13.6,1014,PREVISAO                                                    ,53.9,35807,5146,40953,126.7
2009/10             ,UNICA          ,PR,CANA DE ACUCAR                          ,4238,536.0,45502.8,PREVISAO                                                    ,2438.1,367385,1514002,1881387,126.8
2009/10             ,UNICA          ,RJ,CANA DE ACUCAR                          ,4238,45.8,3260,PREVISAO                                                    ,176.6,9962,103297,113259,115.8
2009/10             ,UNICA          ,RN,CANA DE ACUCAR                          ,4238,67.0,3472.5,PREVISAO                                                    ,218.4,51225,69070,120295,125.7
2009/10             ,UNICA          ,RO,CANA DE ACUCAR                          ,4238,1.8,111.3,PREVISAO                                                    ,0,0,8550,8550,129.9
2009/10             ,UNICA          ,RS,CANA DE ACUCAR                          ,4238,1.0,48.5,PREVISAO                                                    ,0,0,2460,2460,85.8
2009/10             ,UNICA          ,SE,CANA DE ACUCAR                          ,4238,37.9,2249.7,PREVISAO                                                    ,118.4,28464.2,93926.5,122390.7,148.2
2009/10             ,UNICA          ,SP,CANA DE ACUCAR                          ,4238,4129.9,362664.7,PREVISAO                                                    ,20815.8,4113387,10805138,14918525,130.6
2009/10             ,UNICA          ,TO,CANA DE ACUCAR                          ,4238,0.7,45.1,PREVISAO                                                    ,0,0,2433,2433,91.2
2010/11             ,UNICA          ,AC,CANA DE ACUCAR                          ,4238,0.4,33.8,PREVISAO                                                    ,0,0,1489,1489,74.5
2010/11             ,UNICA          ,AL,CANA DE ACUCAR                          ,4238,451.2,29120.4,PREVISAO                                                    ,2495.9,323388,385963,709351,132
2010/11             ,UNICA          ,AM,CANA DE ACUCAR                          ,4238,3.8,347,PREVISAO                                                    ,19.6,0,7140,7140,94.1
2010/11             ,UNICA          ,BA,CANA DE ACUCAR                          ,4238,42.6,2792.2,PREVISAO                                                    ,113.4,59200,68060,127260,121.3
2010/11             ,UNICA          ,CE,CANA DE ACUCAR                          ,4238,2.8,180.5,PREVISAO                                                    ,0,0,12746.3,12746.3,119.4
2010/11             ,UNICA          ,ES,CANA DE ACUCAR                          ,4238,68.7,3524.8,PREVISAO                                                    ,90.1,95117,92079,187196,118.6
2010/11             ,UNICA          ,GO,CANA DE ACUCAR                          ,4238,599.3,46206.8,PREVISAO                                                    ,1798.5,659432,2242242,2901674,148.1
2010/11             ,UNICA          ,MA,CANA DE ACUCAR                          ,4238,42.1,2327.5,PREVISAO                                                    ,8.8,141504,40284,181788,140.6
2010/11             ,UNICA          ,MG,CANA DE ACUCAR                          ,4238,659.6,56013.6,PREVISAO                                                    ,3254.1,598494,2061537,2660031,142.1
2010/11             ,UNICA          ,MS,CANA DE ACUCAR                          ,4238,396.2,33476.7,PREVISAO                                                    ,1328.5,360800,1485397,1846197,135.7
2010/11             ,UNICA          ,MT,CANA DE ACUCAR                          ,4238,207.1,13661.2,PREVISAO                                                    ,446.1,274146,583158,857304,141.9
2010/11             ,UNICA          ,PA,CANA DE ACUCAR                          ,4238,10.0,521.9,PREVISAO                                                    ,21,6198,16761,22959,117.5
2010/11             ,UNICA          ,PB,CANA DE ACUCAR                          ,4238,111.8,5246.3,PREVISAO                                                    ,182.8,122652,173146,295798,133.7
2010/11             ,UNICA          ,PE,CANA DE ACUCAR                          ,4238,346.8,16820.8,PREVISAO                                                    ,1469.7,155772,222157,377929,130.4
2010/11             ,UNICA          ,PI,CANA DE ACUCAR                          ,4238,13.3,836.9,PREVISAO                                                    ,46.3,33109,2388,35497,132.7
2010/11             ,UNICA          ,PR,CANA DE ACUCAR                          ,4238,582.3,43321.1,PREVISAO                                                    ,3022.1,271770,1347822,1619592,136.9
2010/11             ,UNICA          ,RJ,CANA DE ACUCAR                          ,4238,51.3,2537.8,PREVISAO                                                    ,118.3,0,69102,69102,95
2010/11             ,UNICA          ,RN,CANA DE ACUCAR                          ,4238,65.7,2729.4,PREVISAO                                                    ,169,42777,39734,82511,117.3
2010/11             ,UNICA          ,RO,CANA DE ACUCAR                          ,4238,2.6,136.7,PREVISAO                                                    ,0,0,10763,10763,133.2
2010/11             ,UNICA          ,RS,CANA DE ACUCAR                          ,4238,1.7,82,PREVISAO                                                    ,0,0,5805,5805,119.7
2010/11             ,UNICA          ,SE,CANA DE ACUCAR                          ,4238,37.0,2025.6,PREVISAO                                                    ,78.1,10400,90858,101258,125.4
2010/11             ,UNICA          ,SP,CANA DE ACUCAR                          ,4238,4357.0,361723.3,PREVISAO                                                    ,23506.1,4857709,10607896,15465605,141.5
2010/11             ,UNICA          ,TO,CANA DE ACUCAR                          ,4238,2.8,239,PREVISAO                                                    ,0,4515,11973,16488,118.1
2011/12             ,UNICA          ,AC,CANA DE ACUCAR                          ,4238,0.6,52.6,PREVISAO                                                    ,0,0,4101,4101,131.9
2011/12             ,UNICA          ,AL,CANA DE ACUCAR                          ,4238,463.7,27705.4,PREVISAO                                                    ,2178.2,327740,199565,527305,115.6
2011/12             ,UNICA          ,AM,CANA DE ACUCAR                          ,4238,3.8,287,PREVISAO                                                    ,15.2,0,4046,4046,79.4
2011/12             ,UNICA          ,BA,CANA DE ACUCAR                          ,4238,42.6,2557.3,PREVISAO                                                    ,113.4,78750,76475,155225,151.5
2011/12             ,UNICA          ,CE,CANA DE ACUCAR                          ,4238,1.3,77.4,PREVISAO                                                    ,0,0,3976,3976,86.9
2011/12             ,UNICA          ,ES,CANA DE ACUCAR                          ,4238,66.9,4003.8,PREVISAO                                                    ,118.4,104010,68255,172265,105.7
2011/12             ,UNICA          ,GO,CANA DE ACUCAR                          ,4238,678.4,45220.1,PREVISAO                                                    ,1875.3,821255,2309325,3130580,162
2011/12             ,UNICA          ,MA,CANA DE ACUCAR                          ,4238,39.6,2265.6,PREVISAO                                                    ,8.9,136480,23440,159920,128
2011/12             ,UNICA          ,MG,CANA DE ACUCAR                          ,4238,742.7,50241.8,PREVISAO                                                    ,3418.4,846750,1172400,2019150,140.6
2011/12             ,UNICA          ,MS,CANA DE ACUCAR                          ,4238,480.9,33859.8,PREVISAO                                                    ,1741.5,484970,1430370,1915340,150.7
