ano;mes;municipio;cod_ibge;uf;regiao;valor_formalizado;valor_executado;valor_devolvido
2015,0;4,0;IPAMERI-GO                                        ;5210109                       ;GO        ;CENTRO-OESTE        ;215995,47;215995,452;125190,9
2015,0;4,0;MORRINHOS-GO                                      ;5213806                       ;GO        ;CENTRO-OESTE        ;191983,55;191983,55;106196,4
2015,0;4,0;ITAMARATI DE MINAS-MG                             ;3132602                       ;MG        ;SUDESTE             ;63585,0;63585,0;0,0
2015,0;4,0;PIRAPORA-MG                                       ;3151206                       ;MG        ;SUDESTE             ;239241,69;206744,60193;3206971,9499999983
2015,0;4,0;SÃO JOSÉ DA LAGOA TAPADA-PB                       ;2514206                       ;PB        ;NORDESTE            ;160339,7;152339,688;524851,9500000002
2015,0;4,0;SOUSA-PB                                          ;2516201                       ;PB        ;NORDESTE            ;462569,9900000003;462569,9926700003;945225,4199999996
2015,0;4,0;PORTO VELHO-RO                                    ;1100205                       ;RO        ;NORTE               ;375737,2500000001;375737,2500000001;0,0
2015,0;4,0;CORONEL BICACO-RS                                 ;4305900                       ;RS        ;SUL                 ;170148,0;42717,8596;0,0
2015,0;4,0;NOVA PALMA-RS                                     ;4313102                       ;RS        ;SUL                 ;77360,0;45360,0;0,0
2015,0;4,0;SILVEIRA MARTINS-RS                               ;4320651                       ;RS        ;SUL                 ;15996,0;15996,0;0,0
2015,0;5,0;DELMIRO GOUVEIA-AL                                ;2702405                       ;AL        ;NORDESTE            ;63000,0;63000,0;1449,84
2015,0;5,0;LIMOEIRO DE ANADIA-AL                             ;2704203                       ;AL        ;NORDESTE            ;831221,3199999998;799221,6199999998;862315,0000000015
2015,0;5,0;OLHO D'ÁGUA DAS FLORES-AL                         ;2705705                       ;AL        ;NORDESTE            ;191923,9;191923,9;46309,2
2015,0;5,0;SANTANA DO MUNDAÚ-AL                              ;2708105                       ;AL        ;NORDESTE            ;2615795,100000004;2575797,1000000034;679542,4699999986
2015,0;5,0;GUAPÓ-GO                                          ;5209200                       ;GO        ;CENTRO-OESTE        ;102268,69;86357,72949;120577,82
2015,0;5,0;IPAMERI-GO                                        ;5210109                       ;GO        ;CENTRO-OESTE        ;255996,53;255996,5000000001;94824,0
2015,0;5,0;ITUMBIARA-GO                                      ;5211503                       ;GO        ;CENTRO-OESTE        ;375992,68;327992,6800000001;0,0
2015,0;5,0;MORRINHOS-GO                                      ;5213806                       ;GO        ;CENTRO-OESTE        ;436358,6900000001;364367,86;568770,7200000004
2015,0;5,0;NIQUELÂNDIA-GO                                    ;5214606                       ;GO        ;CENTRO-OESTE        ;231914,65;231914,64;229014,1600000001
2015,0;5,0;PONTALINA-GO                                      ;5217708                       ;GO        ;CENTRO-OESTE        ;263915,63;239918,0799999999;557077,1999999998
2015,0;5,0;ANGÉLICA-MS                                       ;5000856                       ;MS        ;CENTRO-OESTE        ;74516,37;69398,86775;42015,6
2015,0;5,0;CARAÚBAS-PB                                       ;2504074                       ;PB        ;NORDESTE            ;239999,87;223999,8709500001;167216,56
2015,0;5,0;ALTOS-PI                                          ;2200400                       ;PI        ;NORDESTE            ;675715,72;675714,6950100006;73,53
2015,0;5,0;CAJAZEIRAS DO PIAUÍ-PI                            ;2202075                       ;PI        ;NORDESTE            ;170356,0;170355,98496;0,0
2015,0;5,0;CANTO DO BURITI-PI                                ;2202307                       ;PI        ;NORDESTE            ;605670,9700000001;605670,97;143821,3900000001
2015,0;5,0;LAGOA ALEGRE-PI                                   ;2205557                       ;PI        ;NORDESTE            ;194968,93;194968,93;92508,6
2015,0;5,0;MANOEL EMÍDIO-PI                                  ;2205904                       ;PI        ;NORDESTE            ;198310,0;101843,0;0,0
2015,0;5,0;PICOS-PI                                          ;2208007                       ;PI        ;NORDESTE            ;623999,11;559948,9360000002;11819,08
2015,0;5,0;REDENÇÃO DO GURGUÉIA-PI                           ;2208700                       ;PI        ;NORDESTE            ;192770,03;192770,03;0,0
2015,0;5,0;ITAPERUNA-RJ                                      ;3302205                       ;RJ        ;SUDESTE             ;1083806,5299999998;1083758,3841799973;0,0
