Ano;UF;Quantidade (mil t)
2.016,00;SC;5.475,50
2.016,00;SE;12,20
2.016,00;SP;12.604,99
2.016,00;TO;1.821,70
2.015,00;AC;29,28
2.015,00;AL;550,72
2.015,00;AM;349,03
2.015,00;AP;6,28
2.015,00;BA;4.549,00
2.015,00;CE;384,58
2.015,00;DF;372,98
2.015,00;ES;1.422,76
2.015,00;GO;11.999,71
2.015,00;MA;2.457,83
2.015,00;MG;8.954,89
2.015,00;MS;8.461,51
2.015,00;MT;33.463,84
2.015,00;PA;835,74
2.015,00;PB;90,34
2.015,00;PE;661,22
2.015,00;PI;1.044,09
2.015,00;PR;28.742,02
2.015,00;RJ;158,85
2.015,00;RN;63,50
2.015,00;RO;733,55
2.015,00;RR;147,48
2.015,00;RS;28.535,00
2.015,00;SC;5.128,05
2.015,00;SE;3,20
2.015,00;SP;11.553,91
2.015,00;TO;1.655,93
2.014,00;AC;29,28
2.014,00;AL;550,72
2.014,00;AM;347,60
2.014,00;AP;6,28
2.014,00;BA;4.158,84
2.014,00;CE;384,58
2.014,00;DF;480,82
2.014,00;ES;1.492,56
2.014,00;GO;12.613,09
2.014,00;MA;1.997,01
2.014,00;MG;9.048,69
2.014,00;MS;8.274,12
2.014,00;MT;30.870,55
2.014,00;PA;856,13
2.014,00;PB;99,84
2.014,00;PE;977,74
2.014,00;PI;963,78
2.014,00;PR;28.353,29
2.014,00;RJ;184,50
2.014,00;RN;63,50
2.014,00;RO;733,55
2.014,00;RR;147,48
2.014,00;RS;28.659,79
2.014,00;SC;5.201,62
2.014,00;SE;3,20
2.014,00;SP;11.475,46
2.014,00;TO;1.532,57
2.013,00;AC;29,28
2.013,00;AL;550,72
2.013,00;AM;387,01
2.013,00;AP;3,48
2.013,00;BA;4.032,25
2.013,00;CE;384,58
2.013,00;DF;464,25
2.013,00;ES;1.442,78
2.013,00;GO;13.161,03
2.013,00;MA;1.862,99
2.013,00;MG;8.730,20
2.013,00;MS;7.771,65
2.013,00;MT;29.589,22
2.013,00;PA;641,42
2.013,00;PB;95,23
2.013,00;PE;977,74
2.013,00;PI;963,78
2.013,00;PR;27.677,69
2.013,00;RJ;184,50
