ano_agricola;safra;uf;produto;id_produto;id_levantamento;dsc_levantamento;area_plantada_mil_ha;producao_mil_t;produtividade_mil_ha_mil_t
2019                ;UNICA          ;GO;CAFE                                    ;7498; 003;3º LEV              ;6575;236;35.9
2019                ;UNICA          ;GO;CAFE                                    ;7498; 004;4º LEV              ;6932;249;35.9
2019                ;UNICA          ;MG;CAFE                                    ;7498; 001;1º LEV              ;971732;26718;27.5
2019                ;UNICA          ;MG;CAFE                                    ;7090; 001;1º LEV              ;9698;328;33.8
2019                ;UNICA          ;MG;CAFE                                    ;7498; 002;2º LEV              ;977147;26120;26.7
2019                ;UNICA          ;MG;CAFE                                    ;7090; 002;2º LEV              ;9646;325;33.7
2019                ;UNICA          ;MG;CAFE                                    ;7090; 003;3º LEV              ;9457;309;32.7
2019                ;UNICA          ;MG;CAFE                                    ;7498; 003;3º LEV              ;974502;24212;24.8
2019                ;UNICA          ;MG;CAFE                                    ;7090; 004;4º LEV              ;9457;318;33.6
2019                ;UNICA          ;MG;CAFE                                    ;7498; 004;4º LEV              ;974269;24235;24.9
2019                ;UNICA          ;MT;CAFE                                    ;7498; 001;1º LEV              ;45;1;22.2
2019                ;UNICA          ;MT;CAFE                                    ;7090; 001;1º LEV              ;10132;114;11.3
2019                ;UNICA          ;MT;CAFE                                    ;7090; 002;2º LEV              ;8442;119;14.1
2019                ;UNICA          ;MT;CAFE                                    ;7090; 003;3º LEV              ;8422;121;14.4
2019                ;UNICA          ;MT;CAFE                                    ;7090; 004;4º LEV              ;8422;121;14.4
2019                ;UNICA          ;NI;CAFE                                    ;7090; 001;1º LEV              ;3727;44;11.8
2019                ;UNICA          ;NI;CAFE                                    ;7498; 001;1º LEV              ;6511;69;10.6
2019                ;UNICA          ;NI;CAFE                                    ;7498; 002;2º LEV              ;6610;74;11.2
2019                ;UNICA          ;NI;CAFE                                    ;7090; 002;2º LEV              ;3701;79;21.3
2019                ;UNICA          ;NI;CAFE                                    ;7498; 003;3º LEV              ;6097;72;11.8
2019                ;UNICA          ;NI;CAFE                                    ;7090; 003;3º LEV              ;3696;79;21.4
2019                ;UNICA          ;NI;CAFE                                    ;7498; 004;4º LEV              ;6187;72;11.6
2019                ;UNICA          ;NI;CAFE                                    ;7090; 004;4º LEV              ;3694;79;21.4
2019                ;UNICA          ;PR;CAFE                                    ;7498; 001;1º LEV              ;37800;1050;27.8
2019                ;UNICA          ;PR;CAFE                                    ;7498; 002;2º LEV              ;37400;1050;28.1
2019                ;UNICA          ;PR;CAFE                                    ;7498; 003;3º LEV              ;37300;950;25.5
2019                ;UNICA          ;PR;CAFE                                    ;7498; 004;4º LEV              ;36900;953;25.8
2019                ;UNICA          ;RJ;CAFE                                    ;7498; 001;1º LEV              ;12241;309;25.2
2019                ;UNICA          ;RJ;CAFE                                    ;7498; 002;2º LEV              ;11797;328;27.8
2019                ;UNICA          ;RJ;CAFE                                    ;7498; 003;3º LEV              ;11381;276;24.3
2019                ;UNICA          ;RJ;CAFE                                    ;7498; 004;4º LEV              ;11713;245;20.9
2019                ;UNICA          ;RO;CAFE                                    ;7090; 001;1º LEV              ;63879;2097;32.8
2019                ;UNICA          ;RO;CAFE                                    ;7090; 002;2º LEV              ;62729;2122;33.8
2019                ;UNICA          ;RO;CAFE                                    ;7090; 003;3º LEV              ;62729;2097;33.4
2019                ;UNICA          ;RO;CAFE                                    ;7090; 004;4º LEV              ;62729;2199;35.1
2019                ;UNICA          ;SP;CAFE                                    ;7498; 001;1º LEV              ;202883;4317;21.3
2019                ;UNICA          ;SP;CAFE                                    ;7498; 002;2º LEV              ;202560;4645;22.9
2019                ;UNICA          ;SP;CAFE                                    ;7498; 003;3º LEV              ;201369;4368;21.7
2019                ;UNICA          ;SP;CAFE                                    ;7498; 004;4º LEV              ;201369;4340;21.6
2020                ;UNICA          ;BA;CAFE                                    ;7498; 001;1º LEV              ;68635;1625;23.7
2020                ;UNICA          ;BA;CAFE                                    ;7090; 001;1º LEV              ;39250;2225;56.7
2020                ;UNICA          ;BA;CAFE                                    ;7090; 003;3º LEV              ;39250;2120;54
2020                ;UNICA          ;BA;CAFE                                    ;7498; 003;3º LEV              ;67635;2018;29.8
2020                ;UNICA          ;BA;CAFE                                    ;7498; 004;4º LEV              ;66935;1867;27.9
2020                ;UNICA          ;BA;CAFE                                    ;7090; 004;4º LEV              ;39250;2120;54
2020                ;UNICA          ;ES;CAFE                                    ;7498; 001;1º LEV              ;156294;4388;28.1
2020                ;UNICA          ;ES;CAFE                                    ;7090; 001;1º LEV              ;243993;9838;40.3
2020                ;UNICA          ;ES;CAFE                                    ;7498; 003;3º LEV              ;156294;4477;28.6
2020                ;UNICA          ;ES;CAFE                                    ;7090; 003;3º LEV              ;243993;9132;37.4
2020                ;UNICA          ;ES;CAFE                                    ;7498; 004;4º LEV              ;156294;4765;30.5
2020                ;UNICA          ;ES;CAFE                                    ;7090; 004;4º LEV              ;243993;9193;37.7
2020                ;UNICA          ;GO;CAFE                                    ;7498; 001;1º LEV              ;6342;271;42.7
2020                ;UNICA          ;GO;CAFE                                    ;7498; 003;3º LEV              ;6152;240;39
2020                ;UNICA          ;GO;CAFE                                    ;7498; 004;4º LEV              ;6135;248;40.4
2020                ;UNICA          ;MG;CAFE                                    ;7090; 001;1º LEV              ;9457;321;33.9
2020                ;UNICA          ;MG;CAFE                                    ;7498; 001;1º LEV              ;1023986;31075;30.3
2020                ;UNICA          ;MG;CAFE                                    ;7090; 003;3º LEV              ;9457;318;33.6
2020                ;UNICA          ;MG;CAFE                                    ;7498; 003;3º LEV              ;1031908;33142;32.1
2020                ;UNICA          ;MG;CAFE                                    ;7090; 004;4º LEV              ;9112;310;34
2020                ;UNICA          ;MG;CAFE                                    ;7498; 004;4º LEV              ;1032280;34337;33.3
2020                ;UNICA          ;MT;CAFE                                    ;7090; 001;1º LEV              ;9902;164;16.6
2020                ;UNICA          ;MT;CAFE                                    ;7090; 003;3º LEV              ;9602;158;16.5
2020                ;UNICA          ;MT;CAFE                                    ;7090; 004;4º LEV              ;9602;158;16.5
2020                ;UNICA          ;NI;CAFE                                    ;7090; 001;1º LEV              ;3669;78;21.3
2020                ;UNICA          ;NI;CAFE                                    ;7498; 001;1º LEV              ;4879;72;14.8
2020                ;UNICA          ;NI;CAFE                                    ;7090; 003;3º LEV              ;3732;90;24.1
2020                ;UNICA          ;NI;CAFE                                    ;7498; 003;3º LEV              ;4313;56;13
2020                ;UNICA          ;NI;CAFE                                    ;7498; 004;4º LEV              ;4453;57;12.8
2020                ;UNICA          ;NI;CAFE                                    ;7090; 004;4º LEV              ;3517;85;24.2
2020                ;UNICA          ;PR;CAFE                                    ;7498; 001;1º LEV              ;36120;925;25.6
2020                ;UNICA          ;PR;CAFE                                    ;7498; 003;3º LEV              ;35556;938;26.4
2020                ;UNICA          ;PR;CAFE                                    ;7498; 004;4º LEV              ;35683;942;26.4
2020                ;UNICA          ;RJ;CAFE                                    ;7498; 001;1º LEV              ;11687;333;28.5
2020                ;UNICA          ;RJ;CAFE                                    ;7498; 003;3º LEV              ;11687;346;29.6
2020                ;UNICA          ;RJ;CAFE                                    ;7498; 004;4º LEV              ;11969;371;31
2020                ;UNICA          ;RO;CAFE                                    ;7090; 001;1º LEV              ;64878;2367;36.5
2020                ;UNICA          ;RO;CAFE                                    ;7090; 003;3º LEV              ;63569;2434;38.3
2020                ;UNICA          ;RO;CAFE                                    ;7090; 004;4º LEV              ;63569;2445;38.5
2020                ;UNICA          ;SP;CAFE                                    ;7498; 001;1º LEV              ;206406;5902;28.6
2020                ;UNICA          ;SP;CAFE                                    ;7498; 003;3º LEV              ;201523;6158;30.6
2020                ;UNICA          ;SP;CAFE                                    ;7498; 004;4º LEV              ;201523;6181;30.7
2021                ;UNICA          ;AM;CAFE                                    ;7090; 002;2º LEV              ;2145;45;21
2021                ;UNICA          ;AM;CAFE                                    ;7498; 002;2º LEV              ;2000;31;15.5
2021                ;UNICA          ;AM;CAFE                                    ;7090; 003;3º LEV              ;2145;45;21
2021                ;UNICA          ;AM;CAFE                                    ;7498; 003;3º LEV              ;2000;31;15.5
2021                ;UNICA          ;AM;CAFE                                    ;7498; 004;4º LEV              ;2000;30.6;15.3
2021                ;UNICA          ;AM;CAFE                                    ;7090; 004;4º LEV              ;2145;44.6;20.8
2021                ;UNICA          ;BA;CAFE                                    ;7498; 001;1º LEV              ;64660;1797;27.8
2021                ;UNICA          ;BA;CAFE                                    ;7090; 001;1º LEV              ;39250;2284;58.2
2021                ;UNICA          ;BA;CAFE                                    ;7090; 002;2º LEV              ;39250;2228;56.8
2021                ;UNICA          ;BA;CAFE                                    ;7498; 002;2º LEV              ;62210;1727;27.8
2021                ;UNICA          ;BA;CAFE                                    ;7090; 003;3º LEV              ;40000;2240;56
2021                ;UNICA          ;BA;CAFE                                    ;7498; 003;3º LEV              ;58310;1228;21.1
2021                ;UNICA          ;BA;CAFE                                    ;7498; 004;4º LEV              ;58310;1229;21.1
2021                ;UNICA          ;BA;CAFE                                    ;7090; 004;4º LEV              ;40000;2240;56
2021                ;UNICA          ;ES;CAFE                                    ;7498; 001;1º LEV              ;151584;3292;21.7
2021                ;UNICA          ;ES;CAFE                                    ;7090; 001;1º LEV              ;248858;10147;40.8
2021                ;UNICA          ;ES;CAFE                                    ;7498; 002;2º LEV              ;151584;3239;21.4
2021                ;UNICA          ;ES;CAFE                                    ;7090; 002;2º LEV              ;248858;10388;41.7
2021                ;UNICA          ;ES;CAFE                                    ;7498; 003;3º LEV              ;151584;2986;19.7
2021                ;UNICA          ;ES;CAFE                                    ;7090; 003;3º LEV              ;248858;11140;44.8
2021                ;UNICA          ;ES;CAFE                                    ;7498; 004;4º LEV              ;151584;2945;19.4
2021                ;UNICA          ;ES;CAFE                                    ;7090; 004;4º LEV              ;248858;11221;45.1
2021                ;UNICA          ;GO;CAFE                                    ;7498; 001;1º LEV              ;5721;226;39.5
2021                ;UNICA          ;GO;CAFE                                    ;7498; 002;2º LEV              ;5799;212;36.6
2021                ;UNICA          ;GO;CAFE                                    ;7498; 003;3º LEV              ;5803;212;36.5
2021                ;UNICA          ;GO;CAFE                                    ;7498; 004;4º LEV              ;5833;234.6;40.2
2021                ;UNICA          ;MG;CAFE                                    ;7090; 001;1º LEV              ;9112;310;34
2021                ;UNICA          ;MG;CAFE                                    ;7498; 001;1º LEV              ;908905;20661;22.7
